Tiempo,Uso_CPU,Nucleos
2025-06-13 15:46:24,11.4,8
2025-06-13 15:46:26,13.6,8
2025-06-13 15:46:28,14.1,8
2025-06-13 15:46:30,23.7,8
2025-06-13 15:46:32,24.7,8
2025-06-13 15:46:34,17.4,8
2025-06-13 15:46:36,26.3,8
2025-06-13 15:46:38,14.2,8
2025-06-13 15:46:40,13.1,8
2025-06-13 15:46:42,25.1,8
2025-06-13 15:46:44,19.5,8
2025-06-13 15:46:46,16.6,8
2025-06-13 15:46:48,28.2,8
2025-06-13 15:46:50,17.3,8
2025-06-13 15:46:52,13.6,8
2025-06-13 15:46:54,20.3,8
2025-06-13 15:46:56,12.6,8
2025-06-13 15:46:58,30.4,8
2025-06-13 15:47:00,27.9,8
2025-06-13 15:47:02,15.1,8
